Node	 closeness centrality	 degree centrality	 betweenness centrality
CEK	0.308186716974839	0.023376623376623377	0.0001595682270663485
OVB	0.39044295816029423	0.10519480519480519	0.022615271640290837
NJC	0.2843396144766008	0.015584415584415584	6.519058749998568e-06
SVX	0.3845775156240855	0.0987012987012987	0.033925628793479885
NUX	0.28423438145865976	0.015584415584415584	1.2589210884588383e-05
BTK	0.28152540274974297	0.005194805194805195	0.0
IKT	0.36124237944557797	0.05974025974025974	0.015321728403015504
HTA	0.2863539517901934	0.01818181818181818	0.0001145455067848312
ODO	0.26537709008337895	0.0025974025974025974	0.0
UKX	0.26537709008337895	0.0025974025974025974	0.0
ULK	0.2659284275281505	0.005194805194805195	0.0
YKS	0.33847567152988045	0.04155844155844156	0.009855285138081041
MJZ	0.28256118421681337	0.012987012987012988	9.204059919274483e-06
BXU	0.3004699916671748	0.005194805194805195	0.0
MNL	0.42857215329313547	0.16623376623376623	0.0718015653496671
CBO	0.30000050730519484	0.0025974025974025974	0.0
CRM	0.30000050730519484	0.0025974025974025974	0.0
DGT	0.3004699916671748	0.005194805194805195	0.0
DWC	0.36124237944557797	0.05584415584415584	0.006784426935647631
GES	0.3005875924466923	0.007792207792207792	0.0
KLO	0.3500461707845482	0.02077922077922078	1.891776813980581e-05
LGP	0.3004699916671748	0.005194805194805195	0.0
MPH	0.3004699916671748	0.005194805194805195	0.0
OZC	0.3004699916671748	0.005194805194805195	0.0
PPS	0.3030786498426593	0.012987012987012988	2.0436285867863393e-05
RXS	0.30000050730519484	0.0025974025974025974	0.0
SUG	0.3004699916671748	0.005194805194805195	0.0
TUG	0.30000050730519484	0.0025974025974025974	0.0
ZAM	0.3008230703882878	0.01038961038961039	0.0025923361424011622
BKK	0.4764276046534111	0.22857142857142856	0.07361584268094394
SIN	0.47495442096555274	0.2545454545454545	0.07736866344193179
HAK	0.37263527350863596	0.09740259740259741	0.000295338304571865
HGH	0.3948592795379428	0.17922077922077922	0.006250587230060026
HKG	0.4818075901513794	0.2532467532467532	0.053377139339647786
HKT	0.4131260348043565	0.06753246753246753	0.007251360798726213
KIX	0.4173920101637493	0.10909090909090909	0.005356809578627415
TPE	0.44393138653254266	0.22207792207792207	0.021928560349650756
KUL	0.48030099981319496	0.24545454545454545	0.08504183750443163
PEN	0.37012110780785484	0.05194805194805195	0.001968558493721646
PNH	0.374269638743323	0.03896103896103896	0.00015824206157065976
REP	0.3853493721531855	0.05194805194805195	0.00375824945395568
RGN	0.389255599949974	0.07142857142857142	0.030042810349221682
SGN	0.4233744755795472	0.11948051948051948	0.029851126357725515
SWA	0.37155360362907536	0.06103896103896104	9.981777819939981e-05
